Tree,Alignment Patterns,bi,final GAMMA-based Likelihood,paired samples,,tropicalis sample-ids,PC1,PC2
30,34769,-1544315.827,-1589481.047,,,CW0223,-0.113882,-0.150924
86,34763,-1544271.065,-1591406.956,,,CS0086,-0.113492,-0.151211
53,34898,-1544155.549,-1590757.547,,,CS1773,-0.112074,-0.152021
92,34752,-1544130.242,-1592112.57,,,CS0791,-0.112012,-0.152075
15,34755,-1543963.673,-1590903.515,,,CS0146,-0.111154,-0.149334
85,34791,-1543760.344,-1590809.045,,,CW0361,-0.110342,-0.0840846
100,34775,-1543726.308,-1590079.105,,,CS1907,-0.10979,-0.153039
83,34854,-1543719.238,-1591233.325,,,CS0923,-0.107535,-0.0856378
98,34765,-1543712.683,-1590028.617,,,CS1906,-0.107099,-0.150028
69,34775,-1543668.704,-1591069.954,,,CS2182,-0.10624,-0.0907753
36,34775,-1543604.642,-1588316.132,,,CS0060,-0.106091,-0.0842394
2,33858/34784 ,-1543595.121,-1592539.468,"CW0266,CS0044 and CS2272, CS2273",,CS2189,-0.105331,-0.0888668
16,34789,-1543575.418,-1590911.551,,,CS0044,-0.103026,-0.0225307
44,34762,-1543537.753,-1590437.614,,,CS2307,-0.0834684,-0.0623197
8,33919/34796 ,-1543476.03,-1590940.391,same,,CW0266,-0.0790264,-0.0318587
82,34829,-1543447.112,-1592259.426,,,CS2271,-0.0728185,-0.0274089
20,34776,-1543413.009,-1591347.371,,,CW0190,-0.0701156,-0.0840353
23,34778,-1543315.283,-1591671.703,,,CS0317,-0.0675918,-0.0797195
99,34812,-1543292.305,-1590181.022,,,CW0386,-0.0641784,-0.0522518
9,33869/34783,-1543264.259,-1591885.416,same,,CS2397,-0.0638331,-0.09901
88,34796,-1543220.136,-1591813.814,,,CS0748,-0.0625793,0.0646409
58,34839,-1543131.367,-1591551.351,,,CS2325,-0.0603516,-0.0952742
22,34823,-1543109.498,-1591529.724,,,CS1452,-0.0598202,-0.0857278
70,34797,-1543096.195,-1588996.898,,,CW0371,-0.0594171,-0.0858523
33,34788,-1543060.18,-1592028.613,,,CW0464,-0.0591736,-0.0594152
18,34803,-1543036.692,-1591364.445,,,CW0067,-0.0577684,0.0227178
79,34832,-1543020.83,-1591504.592,,,CS1315,-0.0575728,0.0956448
50,34792,-1542989.929,-1589383.639,,,CW0509,-0.0570649,0.0948571
93,34813,-1542953.842,-1591844.882,,,CS2400,-0.0568122,0.0939581
38,34796,-1542949.648,-1589526.633,,,CS2401,-0.0566072,0.0935668
