tropicalis sample-ids,PC1,PC2
CW0223,-0.113882,-0.150924
CS0086,-0.113492,-0.151211
CS1773,-0.112074,-0.152021
CS0791,-0.112012,-0.152075
CS0146,-0.111154,-0.149334
CW0361,-0.110342,-0.0840846
CS1907,-0.10979,-0.153039
CS0923,-0.107535,-0.0856378
CS1906,-0.107099,-0.150028
CS2182,-0.10624,-0.0907753
CS0060,-0.106091,-0.0842394
CS2189,-0.105331,-0.0888668
CS0044,-0.103026,-0.0225307
CS2307,-0.0834684,-0.0623197
CW0266,-0.0790264,-0.0318587
CS2271,-0.0728185,-0.0274089
CW0190,-0.0701156,-0.0840353
CS0317,-0.0675918,-0.0797195
CW0386,-0.0641784,-0.0522518
CS2397,-0.0638331,-0.09901
CS0748,-0.0625793,0.0646409
CS2325,-0.0603516,-0.0952742
CS1452,-0.0598202,-0.0857278
CW0371,-0.0594171,-0.0858523
CW0464,-0.0591736,-0.0594152
CW0067,-0.0577684,0.0227178
CS1315,-0.0575728,0.0956448
CW0509,-0.0570649,0.0948571
CS2400,-0.0568122,0.0939581
CS2401,-0.0566072,0.0935668
CS2220,-0.0564002,0.093805
CW0242,-0.0558394,0.0941234
CS1155,-0.055739,0.0921636
CW0192,-0.0557162,0.0951463
CW0065,-0.0553792,0.0942126
CW0271,-0.053761,0.0939982
CW0074,-0.0514597,-0.0891765
CS1849,-0.0513983,-0.00988571
CS2093,-0.0445892,-0.0731573
CS1864,-0.0428024,-0.000123308
CS2383,-0.0368943,0.0153759
CW0107,-0.0354139,0.0251497
CW0395,-0.0339151,-0.00375553
CS0948,-0.0338318,-0.010151
CS2273,-0.0235242,0.137978
CW0561,-0.0229748,-0.0746052
CS2272,-0.0229293,0.136515
CW0458,-0.0213629,-0.00629654
CS0054,-0.0143483,0.00221457
CW0018,-0.0141416,0.0443106
CS0311,-0.0141105,-0.0442165
CS1861,-0.00614945,-0.00757567
CS1477,-0.00549353,-0.00674065
CW0502,-0.00543702,-0.00700471
CS0470,-0.00211043,0.294333
CS1278,-0.00161787,0.294011
CS0195,-0.000834484,0.293197
CW0219,-0.000723653,-0.0295281
CS0789,-0.00040944,0.291033
CW0263,-0.000373922,0.295424
CS0367,0.000526847,0.293344
CS0426,0.00203181,0.00251189
CS0081,0.00938716,0.017111
CS0101,0.00955264,0.0169136
CS0074,0.00985297,0.0181361
CW0238,0.0218561,0.0261024
CW0478,0.0990223,0.142233
CS2364,0.178246,-0.00350299
CS2365,0.182883,-0.00297354
CW0178,0.187943,-0.00431238
CS1565,0.216204,-0.0590572
CS1573,0.219162,-0.059699
CS1564,0.220047,-0.0593757
CS0424,0.235487,-0.0671768
CW0385,0.238606,-0.0656876
CS1178,0.239956,-0.074162
CS2322,0.2474,-0.0666191
CW0071,0.248148,-0.0668496
CS2308,0.251567,-0.0674194
CS0943,0.253522,-0.0690877
CS0709,0.254162,-0.0692827
