tropicalis sample-ids,before filtering,after filtering,reads passed filter,reads failed due to low quality,reads failed due to too many N,reads failed due to too short,reads with adapter trimmed ,bases trimmed due to adapters,
CS0044_1,"
total reads: 3543137
total bases: 531470550
Q20 bases: 518664969(97.5905%)
Q30 bases: 495253219(93.1854%)
","total reads: 3510903
total bases: 526438677
Q20 bases: 514170757(97.6696%)                  
Q30 bases: 491119901(93.291%)
",7021806,32078,30944,1446,14008,477966,
CS0044_2,"total reads: 3543137
total bases: 531470550
Q20 bases: 515046630(96.9097%)
Q30 bases: 485608178(91.3707%)
","total reads: 3510903
total bases: 526435767
Q20 bases: 511183481(97.1027%)
Q30 bases: 482243919(91.6055%)
",,,,,,,
CS0054_1,"total reads: 5393985
total bases: 809097750
Q20 bases: 791578755(97.8347%)
Q30 bases: 764336799(94.4678%)
","total reads: 5248766
total bases: 787084854
Q20 bases: 772910555(98.1991%)
Q30 bases: 749400945(95.2122%)
",10497532,286750,3688,0,26730,1050702,
CS0054_2,"total reads: 5393985
total bases: 809097750
Q20 bases: 762321732(94.2187%)
Q30 bases: 708517745(87.5689%)
","total reads: 5248766
total bases: 787084854
Q20 bases: 750983501(95.4133%)
Q30 bases: 702378839(89.238%)
",,,,,,,
CS0060_1,"total reads: 5153091
total bases: 772963650
Q20 bases: 762947564(98.7042%)
Q30 bases: 747027010(96.6445%)
","total reads: 5027147
total bases: 753560239
Q20 bases: 745756403(98.9644%)
Q30 bases: 732613112(97.2202%)
",10054294,247126,4762,0,58490,1816838,
CS0060_2,"total reads: 5153091
total bases: 772963650
Q20 bases: 736177438(95.2409%)
Q30 bases: 692195736(89.5509%)
","total reads: 5027147
total bases: 753560239
Q20 bases: 726361612(96.3906%)
Q30 bases: 686712784(91.1291%)
",,,,,,,
CS0074_1,"total reads: 8301465
total bases:1245219750
Q20 bases: 1219247377(97.9142%)
Q30 bases: 1178454156(94.6382%)
","total reads: 8078459
total bases: 1211398005
Q20 bases: 1190477774(98.2731%)
Q30 bases: 1155429145(95.3798%)
",16156918,440264,5748,0,41890,1881126,
CS0074_2,"total reads: 8301465
total bases:1245219750
Q20 bases: 1174550736(94.3248%)
Q30 bases: 1093491802(87.8152%)
","total reads: 8078459
total bases: 1211398005
Q20 bases: 1157135700(95.5207%)
Q30 bases: 1084042498(89.4869%)
",,,,,,,
CS0081_1,"total reads: 6307262
total bases: 946089300
Q20 bases: 926243473(97.9023%)
Q30 bases: 895113892(94.612%)
","total reads: 6140931
total bases: 920849929
Q20 bases: 904789416(98.2559%)
Q30 bases: 877942539(95.3405%)
",12281862,328426,4236,0,32436,1349402,
CS0081_2,"total reads: 6307262
total bases: 946089300
Q20 bases: 892949821(94.3832%)
Q30 bases: 831601527(87.8988%)
","total reads: 6140931
total bases: 920849929
Q20 bases: 879937579(95.5571%)
Q30 bases: 824533707(89.5405%)
",,,,,,,
"
CS0086_1
","total reads: 3638307
total bases: 545746050
Q20 bases: 532606453(97.5924%)
Q30 bases: 508543933(93.1833%)
","total reads: 3606192
total bases: 540716594
Q20 bases: 528158103(97.6774%)
Q30 bases: 504473063(93.2971%)
","7212384

","32238
"," 31562
",430,14804,574037,
CS0086_2,"total reads: 3638307
total bases: 545746050
Q20 bases: 527885645(96.7273%)
Q30 bases: 496550343(90.9856%)
","total reads: 3606192
total bases: 540716824
Q20 bases: 524092825(96.9256%)
Q30 bases: 493268295(91.2249%)
",,,,,,,
CS0101_1,"total reads: 4697616
total bases: 704642400
Q20 bases: 689858617(97.9019%)
Q30 bases: 666631359(94.6056%)
","total reads: 4571216
total bases: 685455787
Q20 bases: 673544164(98.2622%)
Q30 bases: 653582840(95.3501%)
",9142432,249550,3250,0,26142,1054754,
CS0101_2,"total reads: 4697616
total bases: 704642400
Q20 bases: 664354896(94.2826%)
Q30 bases: 617986704(87.7022%)
","total reads: 4571216
total bases: 685455787
Q20 bases: 654474336(95.4802%)
Q30 bases: 612636494(89.3765%)
",,,,,,,
CS0146_1,"total reads: 4032546
total bases: 604881900
Q20 bases: 590991905(97.7037%)
Q30 bases: 569669375(94.1786%)
","total reads: 3942150
total bases: 591186728
Q20 bases: 579508440(98.0246%)
Q30 bases: 560492318(94.808%)
",7884300,174092,6700,0,15444,593990,
CS0146_2,"total reads: 4032546
total bases: 604881900
Q20 bases: 575401240(95.1262%)
Q30 bases: 539468932(89.1858%)
","total reads: 3942150
total bases: 591186728
Q20 bases: 568246002(96.1195%)
Q30 bases: 535489319(90.5787%)
",,,,,,,
CS0195_1,"total reads: 5344444
total bases: 801666600
Q20 bases: 791564506(98.7399%)
Q30 bases: 775502752(96.7363%)
","total reads: 5226773
total bases: 783561484
Q20 bases: 775555328(98.9782%)
Q30 bases: 762107162(97.2619%)
",10453546,230300,5042,0,52106,1553290,
